FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
FALSE,2022-10-27,,Renovation of restrooms,"Location:
1. Metal Prodcution Area
2. Canteen/Staff House Area
https://drive.google.com/file/d/1rDA9rUQiOkGh5gMAXMgXFg_uacVogni8/view?usp=share_link 
https://drive.google.com/file/d/1jQ3P7SFJtx6LDE4dHfKiXNIY5A2GtA1X/view?usp=share_link 
https://drive.google.com/file/d/1ZG04rsKUMYfDKDABpWDLnyW1WBH00eiU/view?usp=share_link 
https://drive.google.com/file/d/18XdkhcfRFvCzXkSMvkKbvz2Fhfu-vrgt/view?usp=share_link",Rommel,"Waiting for Nerio
Coordinate SPLD Excess CR supplies with FIS Project PMO. 

For Proposal by Nerio. 
Put into Spreadsheet and Side by Side Anysis for 021. 
Quality Metrics: Price per Sqm of total Project. 
Price per sqm Materials and seperate Labor. 
BOM ongoing Creation.
Deferred After VARNISHING
FoR QUOTATION of nerio 231108
FOR DESIGN From PDTD 231213. follow up 240103
Forperio injury 240214
240228 for quote For update 240306
For Quote 240508
240529 Checking of Quotation
240626 Waiiting for additional proposal - Customized has a Janitor already. 
240710 Nerio for Contract
240731 Nerio Downpayment has been given. For BOQ and Purchasing of materials. 
240807 started Monday Aug 5
240821 - ongoing
241023 - for schedule 
241127 - Staff house/Canteen Restrooms - for quotations
241211 - Quotation for Evaluation
241218 - Porferio - RFP
250108 - Porferio reschedule 
250122 - Porferio - after painting - next week restroom
250205 - Painting of Staff House
250212 - Staff house Painting - Project cost. 
250219 - change of toilets and contractor. Request for the Design updates and Look for a contractor
250226 - Looking for Suppliers. 
250305 - 021 - looking for suppliers. 
250312 - 3 suppliers - being talked to delprado, 021, JAT888
250326 - waiting for quotations of other contractors
250411 - for scheduling - Resume by May
250514 - For Supplier - no one interested in Labor. 
250521 - proferio will do it. Material Estimate and Quotation 
250528 - porferio - Contract (Task Based Contract). 
250604 - for contract and scope creation
250611 - For consolidation of materials
250625 - Redesign 
250702 - status of redesign - civil - CAR/TARF for redesign
250709 - TARF for pol -  for OJT - assigned on July 14. 
250716 - Added Maintenance CR, Get the tiles from Brian TC. 
250723 - Waiting on Ducting of blower 
250806 - rescheduled with Porferio
250813 - after spray painting waiting for Porferio
250826 - after other matters like the spray booth
250919 - sought for contrators 
250926 - looking contractors
251008 - for Lagbo - CR of staff house. 
251015 - for quotation, to be visit by Contractors
251022 - for new layout of admin CR
251029 - for Layouting - Jayson CAR
251105 - timeline from PDTD/ 
251112 - layout by John 
251120 - layouting of CRs submitted to LAGBO. 
251126 - submited to Lagbo - for quotation. 
251204 - another Subcon has given a bid - Foreman offered a bid 
251210 - Lagbo waiting for quotation. 4 CRs for work. (Jan start work). 
260107 - Quotation - New Supplier. 
260206 - for consolidation of all requirements
260220 - Waiting for quotations from contractors
260225 - For Follow up of quotations
260306 - Goldprime Construction to conduct site survey on March 07, 2026; for PR of Toilet bowls
260311 - Site inspection conducted by Goldprime; prioritized Genset Housing renovation and New Warehouse Extension; will submit quotation
260318 - Prioritization of Genset Room and Warehouse Extension
260325 - Prioritization of Genset Room and Warehouse Extension
260401 - Prioritization of Genset Room and Warehouse Extension
260408 - deferred to July",2026-07-01,,,"added canteen. 
221122 021 will submit within the day. If 021 submits can you compare the price per sqm. 
Get the Price of 021 for past project + BOM of the project and compare it to 021's new price. 
221207 For Revision. Their Price per sqm as compared to last project - increased because of fixtures. 18,600/sqm ( their proposals 32,000/sqm. )
221213 ADDING NERIO as possible implementor. 
Total Project Cost NERIO vs 021",,
TRUE,2022-08-05,,NCO -                                        CR Renovation,CR Renovation for Customized and Mezzanine,Rommel,Inform SPLD and Management of the delay ,11/29/2022,2022-11-29,delay in OSM.... no specific date of arrival/lack of materials/Start of Mezzanine CR -Aug. 6 estimated start Aug. 31 (4 weeks delay,punch list. broken tile.  ,,
TRUE,2022-07-21,,Items Requested (Approved PR) to be Ordered (PO),http://58.71.12.134:8090/desk#List/Material%20Request/Report,,Items owners check if your items are in the report. ,11/15/2023,,,Talk to Gloribel  and Poli for Sucat Warehouse - Dummy Company for tracking excess Items. ,,
TRUE,,,WAREHOUSE ERPNEXT,CSC CABUYAO RAW MATERIALS AS OF FEBRUARY 2022.xlsx 220401 CALBAYOG  RAW MATERIALS AS OF JANUARY 2022,"Jason, Prod, Jenny,  Letlet, WH and MikeB",WAITING for Process. ,1/3/2023,2023-01-31,,We are going to document as we go. ,,
TRUE,,,EHS,EPIRA NWRB Submit Data of 5 years of Past Electrical Consumption. To monitor usage of Electrical per Department. As well as Water Submeter. Committee for Monitoring Water and Electrical Consumption. ,RODEL  / JOEL,"Plan and programs, creation of committee",2022-11-21,,,"meralco said there is no such training yet, target april 2023",,
TRUE,,,PLANT MANAGEMENT,Add the ARF /JO ISSUED DATE of SSD to measure how long a Task was given to OPERATIONS. We want to measure how long it was with OPERATIONS before being passed to the plant.,,REQUEST SSD to give the JO Prepared Date.   Include in the Project coordination log,May 4,,,Addressed in the Change Process,,
TRUE,,,MAINTENANCE,"REPAIR AND MAIINTENANCE BACKLOG. 
Addressing the Backlog.
MACHINE BREAKDOWN REPORT",MAINTENANCE,"List Low Priority Duties to be Delgated to Maintenance OJT. 
ASset Training in ERPnext because it has Repair Monitoring and Costing. ",1/17/2023,,,"no additional resources were approved. 
List all the Backlog. List Estimate Costs and Time to Process the Backlog. Man Days of time. 
Proceedures to be Writen.
Assets and Conditions to Be Documented. 
Drawings to be Made",,
TRUE,2022-01-06,"""JUSTIN ELAINE MAM JENNY ELMER RAQUEL LYRA RODEL ROMMEL REY JASON ERNING JANE RIC""",EQUIPMENT,Power Protection Strategy for the Company,"Rommel
Kris","Scheduled for measuring of actual capacitance based on the next billing.
FOR CHECKING THE BILLING. 
FOR ENERGIZING. For Power Factor - on the Next Billing. ",2023-07-31,2023-03-01,Let us provision preventative systems for electical damage,,,
TRUE,2022-01-06,"""JUSTIN ELAINE MAM JENNY ELMER RAQUEL LYRA RODEL ROMMEL REY JASON ERNING JANE RIC""",EQUIPMENT,Wide Belt Sander,Rommel,For Follow up Supplier.,2022-04-28,2022-10-13,"Production Issues: Minor Troubleshooting (See Action Log).
WAINTING FOR QUOTATION.","1. Unit was found to be defective last Oct. 15 2021.
2. To be scheduled for dismantling of defective parts.
220121 For Reschedule 220129 (Next Week Sat).",,
TRUE,2022-01-26,,EQUIPMENT,man-lift or scissor lift - for source out (raised during MRM Jan 21). BOOM type Lift Needed to be able to work over other sections. ,ELAINE,"Plan the Start of the Improvement Planning. Identify Problems and Opportunities to Fix them. Begin with the identification of What prevents 2 (drive and crew) to do all the lifting and hauling per truck. What tool do they need? 
Cost of the Electrical Lifting Machines - for comparison. 
Consider using Waste Fabric + Waste Rubber as Cushioning for Transport of Goods. 
Ratch Strap. Evaluate the need for it, in holding down furniture. 
Evaluate the Need for Driver+Crewan to do all the lifting themselves? 
Gap Analysis: 
Unloading Requirements? 
What KG range will they handle? 
What tools they would need, 
Do they need Ramps? 
Do they have Carts? 
Restarting the project with a DC motor Controls - prototype for the Lifting System,
Research Paper on the Scissor Lift and Clamp Boom - Objective breakdown the compenents - source them. Which we have to design ourselves. 240306
WAIT for PUP moa.
Waiting for PUP",2025-01-08,2023-02-06,,"This will be a Change Process. We will always only need Crew and Driver for LOADING and UNLOADING. the equipment should allow that. 

In Production - we will need less people doing Handling because tools make them more efficient. 
""for schedule the testing. schedule the picture taken by sir Justin. Update pictures and drawing. Update Maam Lou regarding maintenance schedule tomorrow.
Update Material Handling Document - prepare DDCF02A""
pictures of Scaffolding",Scissor Lift Quotations,
TRUE,2022-02-03,,"FINISHING AREA                                         Filters, Ventillation and Exhaust System at Finishing Area",for testing using new filters and provision intake of fresh air,MAINTENANCE,"ONGOING 220520 EHS Power, HVAC, and Water Projects",2023-07-26,2023-02-06,,When the R&D group is set up. ,,
TRUE,2022-09-29,,Roof Repair,Roof repair under solar panel,MAINTENANCE,"Solaric to re-install solar panels.
Solaric Started, inverter and the Data - energy reports. ",2023-10-18,2023-07-31,,"Waiting for Proposal, we ahve 4 Proposals. FG cruz is interested, waiting for their contact. 

Roofing Plan
Nerio Begged off the ROOF project. 
35 working days Roof Repair. Do we have a place to safely store our SOLAR panels? ",,
TRUE,2022-01-21,"Jenny, Justin, Rommel, ",FINISHING AREA,"LOOK FOR SELF CONTAINED BREATHING APARATUS and SUIT that can be Cooled with an Airpump. Similar to that used by Health Workers. Goal is to protect FInishing Workers from Dust and Fumes, while keeping them Cool. We will not COOL the room.
ONCE we have this solution, we can remove the Filters on the Louvers and then test the Room Pressure. 
We will still need to have a Cyclone Seperator or Air Filter at the Air Pump to catch the dust for disposal. ",MAINTENANCE,Request for Quote and Demo. Explain to them for Painting. GDOC Folder of Options and Proposals. And  Spreadsheet of all the options vs their Costs. ,2022-01-28,2022-02-28,"Unsafe Working Conditions in Finishing Area. Need to protect form Fumes and Dust. Air Pumps too strong to suck air. 
DEFFERED FOR THE other finishing AREA ITEMS>",Deferred,"Other Options 
Electic Powered Mask",
TRUE,2022-10-25,,MACHINE,MACHINE - ROVER A,ROMMEL,Coordinate with PMC,2022-11-02,,"Email request of technician visit to PMC last October 17, 2022. No available technican yet. 
Waiting for availbability of technician.",,,
TRUE,,,HVAC / AIRCON of the PLANT,ventillation in the plant                                     1.) aircon in the conference room.                     2)backup Units are REpaired.     3) Which Depts have aircons with Dangers Signs. ,ROMMEL,,,,AC in conference : waiting for check release (no signature),,,
TRUE,,,WATER SUPPLY AT THE BACK OF WAREHOUSE,fabrication of new tank and acquire new motor pump,ROMMEL,,,,,,,
TRUE,2022-10-25,,MACHINE,LFK TURRET MACHINE,ROMMEL,"On going communication with LFK engineer regarding the parameters to be adjust
for Voltage analysis 
Power Supply for the Monitor. Fanuk Philippines - for Follow Up",2023-01-10,,Waiting recommendation from FIS,"under observation curently 230104, nov last time it was low voltage. 
Diagnostic Training? (open repair )",,
TRUE,2022-10-25,,MACHINE,TUIRRET EUROMAC MACHINE,ROMMEL,"follow up P.O
221103 Coordinate with Supplier",2022-11-15,2022-11-18,Waiting P.O c/o SPLD,,,
TRUE,2022-10-25,,MACHINE,LFK BENDER SMALL,ROMMEL,follow up FIS,2022-11-15,2022-11-18,Waiting of Parts from supplier (FIS),,,
TRUE,2022-10-25,,SAFETY,PURCHASE NEW SAFETY SHOES FOR PRODUCTION USE,RODEL,ONGOING Purchase. Approval of Maal Lou. ,2022-11-03,,Waiting of SAMPLE from KING'S Supplier,,,
TRUE,2022-10-25,,AIRCON,ACU @ MEZZANINE OFFICE FOR REPAIR by DAIKIN,ROMMEL,Follow up Daikin,2022-11-08,,Waiting of payment,1 old aircon will be sent to the TEch Center for Projects with Capstone Students,,
TRUE,2022-10-25,,FACILITIES,WATER LEAK,ROMMEL,Sealing and works,2023-01-10,2023-01-17,"for replacement of furlins
After staff house",Waiting on Rain look for leaks or try Spot Light test. Shining a powerful light on sections to see if light leaks out. ,,
TRUE,2022-10-25,,FACILITIES,CLOGGED DRAINAGE,ROMMEL,Done replacement,2022-12-09,,,additional personnel just started. 3 so far. 221129,,
TRUE,2022-11-23,,,SOLAR panel improvement & REPAIR,MAINTENANCE,"UNINSTALL/INSTALL before REPAIRS.
talk to Meralco Agent, CC email Justin. 
NET METERING clarfications. 
check the effect of Rolling Brown outs on our Area
all working",11/22/2023,,Recruitment of Project Staff,Talk to the M,Solar Panel Improvement,
TRUE,2022-11-23,,,"Water Treatment and Management.
Water Management Plan Creation: We have a weak water pressure, Sprinklers have their own seperate water supply, and Cooridnation with NU and UST regarding options for Water Treatment. 
Rain Collection System.",PROJECT STAFF,"Identify the Water Management Issues: 
1) Water Treatment Requiments. Problem Statement. 
2) Water Pressue, 
3) Rain Water Capture and Recycling. For update 240306 Waste wate treatment group in PCO Fb group
https://m.me/ch/Abak-Orl_4h8dEwU/ 
240320 Request for the Water Treatment and Water management plan for the Exectuive House. 
240403 Water Manage Plan because Water recycling and Rain Capture - request copy of the quotes. 
PUP https://www.pup.edu.ph/gs/masters Water resource engineering - (Bio-Reactor usage for water treatment and CO2 capture)
PARTNERSHIP with PUP - MOA for drafting ID of Projects 240508
240912 - Batangas State. consultation on Water Treatment and Recycling. 
241008 - With the Bioreactor Project. Waiting on Response of Parties",1/8/2025,,Recruitment of Project Staff,,Water Treatment and Management,
TRUE,2022-11-23,,,"(Various Sustainability Projects)
use ofMicro Controllers for Energy and Management 
repair of the breakers and set up of the Submetering and back electrical systems. 
Use of the extra 2 Generators. 
ESP32 Aurdino Devices connected to Power Sensors to monitor the energy consumption of Key Operations and Consolidate it into a Report. ",PROJECT STAFF,"In effect, requesting a Device proposal from Ambibuzz.  Simon Aramburo (the ECE student's device can be used for Energy Monitoring). We can hire him to help develop a project for this. 
AIRCON is the first devices we will monitor. 
1) Preparing ARF and NCO for this project",7/10/2024,,Recruitment of Project Staff,"AMBIBUZZ will be the primary supplier for Microcontrolers. 
ECE OJTS to help develop our Documetnation. (this is for Self Sufficiency if anything happens to Ambubuzz)
RA 11285 - ISO - 50,001 Energy management Standard.  CECO (certified energy conservation officer) - No training yet. Energy Manager has training. Next Year - DOE will start visiting companies for 
Prepare the OCR PDFs regarding the LAW. 
We’ll use the AI to create policies and strategies - for summarize our Action Items and are prepparation for the DOE Visits and Audits.
 https://www.iso.org/files/live/sites/isoorg/files/store/en/PUB100400.pdf 
191112 ISO Standards studies -  https://docs.google.com/document/u/0/d/1XMAZjDbDLVeiGFO-3BKc1EjJRlDRQ7hVJdEInxbUN9Q/edit  
prototype Monitoring System 231206",,
